ENSGALG00000045540	ENSGALP00000062267	ENSGALG00000042023	ENSGALP00000064694	91.19200000000001	5.4999999999999985e-130
ENSGALG00000014410	ENSGALP00000023239	ENSGALG00000014412	ENSGALP00000023241	56.122	5.0100000000000005e-39
ENSGALG00000015511	ENSGALP00000065493	ENSGALG00000015519	ENSGALP00000073108	49.294	0.0
ENSGALG00000032836	ENSGALP00000052475	ENSGALG00000016224	ENSGALP00000026110	75.385	0.0
ENSGALG00000006018	ENSGALP00000009674	ENSGALG00000005934	ENSGALP00000009535	68.916	0.0
ENSGALG00000046632	ENSGALP00000058845	ENSGALG00000051312	ENSGALP00000065791	42.857	4.1200000000000005e-21
ENSGALG00000016677	ENSGALP00000026861	ENSGALG00000016678	ENSGALP00000026862	53.254	1.25e-56
ENSGALG00000054964	ENSGALP00000071702	ENSGALG00000025899	ENSGALP00000042873	49.261	1.0899999999999999e-72
ENSGALG00000032803	ENSGALP00000052996	ENSGALG00000047526	ENSGALP00000071225	92.64200000000001	0.0
ENSGALG00000008434	ENSGALP00000013726	ENSGALG00000008465	ENSGALP00000013781	64.444	0.0
ENSGALG00000047291	ENSGALP00000065491	ENSGALG00000051783	ENSGALP00000070454	99.844	0.0
ENSGALG00000053456	ENSGALP00000073585	ENSGALG00000048381	ENSGALP00000073033	90.667	3.81e-43
ENSGALG00000002564	ENSGALP00000004041	ENSGALG00000026572	ENSGALP00000042833	55.0	3.809999999999999e-65
ENSGALG00000010850	ENSGALP00000017612	ENSGALG00000010853	ENSGALP00000017617	31.01	5.499999999999999e-103
ENSGALG00000048048	ENSGALP00000065034	ENSGALG00000051882	ENSGALP00000066328	52.604	5.319999999999999e-131
ENSGALG00000035246	ENSGALP00000048029	ENSGALG00000036511	ENSGALP00000050904	65.333	5.199999999999999e-137
ENSGALG00000021238	ENSGALP00000006227	ENSGALG00000045037	ENSGALP00000059573	67.134	0.0
ENSGALG00000004436	ENSGALP00000007048	ENSGALG00000004449	ENSGALP00000007068	61.265	0.0
ENSGALG00000045510	ENSGALP00000062727	ENSGALG00000005349	ENSGALP00000008563	32.618	1e-58
ENSGALG00000040504	ENSGALP00000051795	ENSGALG00000006565	ENSGALP00000065997	40.85	1.8099999999999997e-127
ENSGALG00000033932	ENSGALP00000045408	ENSGALG00000041380	ENSGALP00000043493	89.706	0.0
ENSGALG00000004180	ENSGALP00000062146	ENSGALG00000004165	ENSGALP00000006612	66.667	8.099999999999996e-155
ENSGALG00000001437	ENSGALP00000002185	ENSGALG00000001442	ENSGALP00000002192	73.171	9.239999999999997e-178
ENSGALG00000007416	ENSGALP00000011982	ENSGALG00000007418	ENSGALP00000011984	30.596999999999998	5.48e-07
ENSGALG00000043026	ENSGALP00000068510	ENSGALG00000050014	ENSGALP00000070221	99.618	0.0
ENSGALG00000035260	ENSGALP00000052291	ENSGALG00000037946	ENSGALP00000045007	45.678999999999995	2.86e-44
ENSGALG00000025921	ENSGALP00000041231	ENSGALG00000005814	ENSGALP00000009321	98.06299999999999	0.0
ENSGALG00000021353	ENSGALP00000033801	ENSGALG00000002383	ENSGALP00000038547	83.28200000000001	0.0
ENSGALG00000014835	ENSGALP00000023901	ENSGALG00000014840	ENSGALP00000023910	30.831	1.43e-121
ENSGALG00000030800	ENSGALP00000057546	ENSGALG00000014716	ENSGALP00000023682	32.751	3.269999999999999e-96
